"","flight","plane","city1","city2","city3","city4","city5","city1_2"
"830","BK2987","MA6","榆林","石家庄","天津",NA,NA,"榆林石家庄"
"831","BK2988","MA6","天津","石家庄","榆林",NA,NA,"天津石家庄"
"832","BK2988","MA6","天津","石家庄","榆林",NA,NA,"天津石家庄"
"833","BK2988","MA6","天津","石家庄","榆林",NA,NA,"天津石家庄"
"834","BK2988","MA6","天津","石家庄","榆林",NA,NA,"天津石家庄"
"835","3U8431","319","常州","珠海","三亚",NA,NA,"常州珠海"
"836","3U8775","319","杭州","绵阳","拉萨",NA,NA,"杭州绵阳"
"837","3U8776","319","拉萨","绵阳","杭州",NA,NA,"拉萨绵阳"
"838","3U8822","319","西宁","重庆","杭州",NA,NA,"西宁重庆"
"871","CA1782","319","乌鲁木齐","运城","杭州",NA,NA,"乌鲁木齐运城"
"890","CA1917","319","杭州","绵阳","乌鲁木齐",NA,NA,"杭州绵阳"
"891","CA1917","319","杭州","绵阳","乌鲁木齐",NA,NA,"杭州绵阳"
"892","CA1918","319","乌鲁木齐","绵阳","杭州",NA,NA,"乌鲁木齐绵阳"
"893","CA1918","319","乌鲁木齐","绵阳","杭州",NA,NA,"乌鲁木齐绵阳"
"894","CA1923","319","温州","西安","银川",NA,NA,"温州西安"
"895","CA1924","319","银川","西安","温州",NA,NA,"银川西安"
"900","EU2753","319","南京","长沙","三亚",NA,NA,"南京长沙"
"901","EU2754","319","三亚","长沙","南京",NA,NA,"三亚长沙"
"902","JD5137","319","丽江","贵阳","济南",NA,NA,"丽江贵阳"
"903","JD5138","319","济南","贵阳","丽江",NA,NA,"济南贵阳"
"920","JD5383","319","杭州","石家庄","乌鲁木齐",NA,NA,"杭州石家庄"
"921","JD5384","319","乌鲁木齐","石家庄","杭州",NA,NA,"乌鲁木齐石家庄"
"922","JD5384","319","乌鲁木齐","石家庄","杭州",NA,NA,"乌鲁木齐石家庄"
"929","JD5689","319","杭州","宜昌","贵阳",NA,NA,"杭州宜昌"
"930","JD5690","319","贵阳","宜昌","杭州",NA,NA,"贵阳宜昌"
"931","JD5693","319","杭州","烟台","哈尔滨",NA,NA,"杭州烟台"
"932","JD5694","319","哈尔滨","烟台","杭州",NA,NA,"哈尔滨烟台"
"933","JD5695","319","杭州","青岛","哈尔滨",NA,NA,"杭州青岛"
"934","JD5696","319","哈尔滨","青岛","杭州",NA,NA,"哈尔滨青岛"
"944","MU2389","319","合肥","西安","银川",NA,NA,"合肥西安"
"945","MU2390","319","银川","西安","合肥",NA,NA,"银川西安"
"946","MU2397","319","乌鲁木齐","西安","杭州",NA,NA,"乌鲁木齐西安"
"947","MU2398","319","杭州","西安","乌鲁木齐",NA,NA,"杭州西安"
"948","MU2719","319","南京","昆明","丽江",NA,NA,"南京昆明"
"949","MU2720","319","丽江","昆明","南京",NA,NA,"丽江昆明"
"950","MU2720","319","丽江","昆明","南京",NA,NA,"丽江昆明"
"951","MU2720","319","丽江","昆明","南京",NA,NA,"丽江昆明"
"952","MU2729","319","南京","昆明","西双版纳",NA,NA,"南京昆明"
"953","MU2730","319","西双版纳","昆明","南京",NA,NA,"西双版纳昆明"
"954","MU2730","319","西双版纳","昆明","南京",NA,NA,"西双版纳昆明"
"955","MU2730","319","西双版纳","昆明","南京",NA,NA,"西双版纳昆明"
"956","MU2730","319","西双版纳","昆明","南京",NA,NA,"西双版纳昆明"
"957","MU2955","319","无锡","西安","兰州",NA,NA,"无锡西安"
"958","MU2957","319","常州","西安","银川",NA,NA,"常州西安"
"959","MU2958","319","银川","西安","常州",NA,NA,"银川西安"
"960","MU2959","319","常州","西安","兰州",NA,NA,"常州西安"
"961","MU2960","319","兰州","西安","常州",NA,NA,"兰州西安"
"962","MU2967","319","无锡","西安","银川",NA,NA,"无锡西安"
"963","MU2968","319","银川","西安","无锡",NA,NA,"银川西安"
"966","MU5373","319","成都","南昌","宁波",NA,NA,"成都南昌"
"967","MU5374","319","宁波","南昌","成都",NA,NA,"宁波南昌"
"973","OQ2345","319","温州","重庆","西宁",NA,NA,"温州重庆"
"974","OQ2346","319","西宁","重庆","温州",NA,NA,"西宁重庆"
"980","PN6337/8","319","济南","泉州","济南",NA,NA,"济南泉州"
