,flight,plane,city1,city2,city3,city4,city5,remarks,flight_account,flight_num
176,CA8239/40,738,呼和浩特,武汉,呼和浩特,NA,NA,执行日期0701-1024执行,7,1234567
177,FM9221/2,738,鄂尔多斯,西安,鄂尔多斯,NA,NA,或B73G执行,7,1234567
178,FM9287/8,738,天津,昆明,天津,NA,NA,或B752/B73G执行,7,1234567
179,FM9291/2,738,天津,南京,福州,南京,天津,或B752/B73G执行,7,1234567
180,HU7101,738,北京首都,海拉尔,NA,NA,NA,或B734/B733执行 执行日期0430-1029执行,1,.....6.
181,HU7101,738,北京首都,海拉尔,NA,NA,NA,或B734/B733执行 执行日期0430-1029执行,1,..3....
182,HU7101,738,北京首都,海拉尔,NA,NA,NA,或B734/B733执行,5,12.45.7
183,HU7102,738,海拉尔,北京首都,NA,NA,NA,或B734/B733执行,2,1...5..
184,HU7102,738,海拉尔,北京首都,NA,NA,NA,或B734/B733执行 执行日期0430-1029执行,2,..3..6.
185,HU7102,738,海拉尔,北京首都,NA,NA,NA,或B734/B733执行,3,.2.4..7
186,HU7115,738,北京首都,满洲里,NA,NA,NA,或B734/B733执行,5,.2345.7
187,HU7116,738,满洲里,北京首都,NA,NA,NA,或B734/B733执行,5,.2345.7
188,HU7125,738,北京首都,包头,NA,NA,NA,或B734/B733执行,7,1234567
189,HU7126,738,包头,北京首都,NA,NA,NA,或B734/B733执行,5,.23.567
190,HU7126,738,包头,北京首都,NA,NA,NA,或B734/B733执行,2,1..4...
191,HU7133,738,北京首都,满洲里,NA,NA,NA,或B734/B733执行 执行日期0430-1029执行,1,1......
192,HU7133,738,北京首都,满洲里,NA,NA,NA,或B734/B733执行,1,..3....
193,HU7133,738,北京首都,满洲里,NA,NA,NA,或B734/B733执行,1,....5..
194,HU7133,738,北京首都,满洲里,NA,NA,NA,或B734/B733执行 执行日期0430-1029执行,1,.2.....
195,HU7134,738,满洲里,北京首都,NA,NA,NA,或B734/B733执行,1,....5..
196,HU7134,738,满洲里,北京首都,NA,NA,NA,或B734/B733执行,1,..3....
197,HU7134,738,满洲里,北京首都,NA,NA,NA,或B734/B733执行 执行日期0430-1029执行,1,1......
198,HU7134,738,满洲里,北京首都,NA,NA,NA,或B734/B733执行 执行日期0430-1029执行,1,.2.....
199,HU7139,738,北京首都,包头,NA,NA,NA,或B734/B733执行,1,.....6.
200,HU7140,738,包头,北京首都,NA,NA,NA,或B734/B733执行,1,.....6.
201,HU7175,738,北京首都,呼和浩特,NA,NA,NA,或B734/B733执行,7,1234567
202,HU7176,738,呼和浩特,北京首都,NA,NA,NA,或B734/B733执行,7,1234567
203,HU7341,738,北京首都,呼和浩特,NA,NA,NA,或B734执行,2,...4..7
204,HU7341/2,738,北京首都,呼和浩特,北京首都,NA,NA,执行日期：0901-1029,1,..3....
205,HU7342,738,呼和浩特,北京首都,NA,NA,NA,或B734执行,1,...4...
206,HU7342,738,呼和浩特,北京首都,NA,NA,NA,或B734执行,1,......7
207,HU7365,738,太原,杭州,NA,NA,NA,或B733执行,3,..3.5.7
208,HU7365,738,太原,杭州,NA,NA,NA,或B733执行,1,1......
209,HU7366,738,杭州,太原,NA,NA,NA,或B733执行,1,1......
210,HU7366,738,杭州,太原,NA,NA,NA,或B733执行,3,..3.5.7
211,HU7387,738,太原,长沙,NA,NA,NA,或B733/B734执行 执行日期0701-1029执行,7,1234567
212,HU7388,738,长沙,太原,NA,NA,NA,或B733/B734执行 执行日期0701-1029执行,7,1234567
213,HU7611,738,北京首都,长治,NA,NA,NA,或B734执行,2,.2...6.
214,HU7611,738,北京首都,长治,NA,NA,NA,或B734执行,5,1.345.7
215,HU7612,738,长治,北京首都,NA,NA,NA,或B734执行,2,.2...6.
216,HU7612,738,长治,北京首都,NA,NA,NA,或B734执行,5,1.345.7
217,HU7863,738,太原,合肥,厦门,NA,NA,或B733执行,7,1234567
218,HU7864,738,厦门,合肥,太原,NA,NA,或B733执行,6,123456
219,HU7864,738,厦门,合肥,太原,NA,NA,或B733执行,1,......7
220,HU7877,738,太原,南京,NA,NA,NA,或B733执行,3,.2.4.6.
221,HU7878,738,南京,太原,NA,NA,NA,或B733执行,3,.2.4.6.
222,KN2259/60,738,北京南苑,鄂尔多斯,北京南苑,NA,NA,执行日期：0905-1029,4,1.3.5.7
223,KN2259/60,738,北京南苑,鄂尔多斯,北京南苑,NA,NA,"执行日期：0719-1029_x000D_
调整取消（调为1357）：0905-1029",3,.2.4.6.
224,KN2261/2,738,北京南苑,鄂尔多斯,北京南苑,NA,NA,或73G执行,7,1234567
225,KN2265/6,738,北京南苑,锡林浩特,北京南苑,NA,NA,执行日期：6月6-10月29日,7,1234567
226,KN2749/50,738,北京南苑,海拉尔,北京南苑,NA,NA,NA,7,1234567
227,KN2911/2,738,北京南苑,包头,北京南苑,NA,NA,执行日期：3月27日-10月29,7,1234567
228,KN2919/20,738,北京南苑,鄂尔多斯,北京南苑,NA,NA,执行日期：0815-1029,7,1234567
229,KN2941/2,738,北京南苑,鄂尔多斯,北京南苑,NA,NA,执行日期：3月27至10月29,7,1234567
230,MF8139/40,738,天津,厦门,海口,厦门,天津,"或B757执行_x000D_
执行日期：0327-1029_x000D_
取消：0901-0930_x000D_
取消：1001-1029",3,.2.4..7
231,MF8139/40,738,天津,厦门,海口,厦门,天津,或B757执行,4,1.3.56.
232,MF8311/2,738,天津,郑州,三亚,郑州,天津,NA,3,.2.4..7
233,MF8377/8,738,天津,杭州,南宁,杭州,天津,或B757执行,7,1234567
234,MF8379/80,738,天津,深圳,天津,NA,NA,或B757执行,7,1234567
235,MF8459/60,738,天津,西安,重庆,西安,天津,或B757执行,1,.....6.
236,MF8459/60,738,天津,西安,重庆,西安,天津,或B757执行,6,12345.7
237,MU5291,738,太原,北京首都,NA,NA,NA,NA,7,1234567
238,MU5293/4,738,太原,北京首都,太原,NA,NA,NA,7,1234567
239,MU5295,738,太原,北京首都,NA,NA,NA,NA,7,1234567
240,MU5296,738,北京首都,太原,NA,NA,NA,NA,7,1234567
241,MU5297,738,太原,北京首都,NA,NA,NA,NA,7,1234567
242,MU5298,738,北京首都,太原,NA,NA,NA,NA,7,1234567
243,MU5299,738,太原,北京首都,NA,NA,NA,NA,7,1234567
244,MU5300,738,北京首都,太原,NA,NA,NA,NA,7,1234567
245,NS3205/6,738,石家庄,温州,三亚,温州,石家庄,或320/73G/E90/ERJ执行,7,1234567
246,NS3255/6,738,石家庄,呼和浩特,石家庄,NA,NA,NA,7,1234567
247,CA1319/20,73G,天津,深圳,天津,NA,NA,或B733/738执行,7,1234567
248,CA1467/8,73G,天津,长沙,昆明,长沙,天津,"或B733/738执行 _x000D_
执行日期：0327-1029_x000D_
取消：0701-0731",2,..3.5..
249,CA1467/8,73G,天津,长沙,昆明,长沙,天津,"或B733/738执行 _x000D_
执行日期：3月27-10月29日；临时取消：6月1-6月30日_x000D_
取消：0701-0731",1,.2.....
250,CA1467/8,73G,天津,长沙,昆明,长沙,天津,或B733/738执行 ,4,1..4.67
