city1_2,flight,plane,city1,city2,city3,city4,city5,remarks,flight_account,flag
北海石家庄,NA,NA,NA,NA,NA,NA,NA,NA,NA,21724
白山大连,NA,NA,NA,NA,NA,NA,NA,NA,NA,8578
黄山郑州,NA,NA,NA,NA,NA,NA,NA,NA,NA,2483
郑州黄山,NA,NA,NA,NA,NA,NA,NA,NA,NA,2483
郑州西安,NA,NA,NA,NA,NA,NA,NA,NA,NA,4589
徐州昆明,NA,NA,NA,NA,NA,NA,NA,NA,NA,2490
南京武夷山,NA,NA,NA,NA,NA,NA,NA,NA,NA,2494
武夷山南京,NA,NA,NA,NA,NA,NA,NA,NA,NA,2494
稻城重庆,NA,NA,NA,NA,NA,NA,NA,NA,NA,18962
揭阳潮汕温州,NA,NA,NA,NA,NA,NA,NA,NA,NA,4634
温州揭阳潮汕,NA,NA,NA,NA,NA,NA,NA,NA,NA,4634
