hsp.hsp,mv10.mv10,mv20.mv20,vol10.vol10,vol20.vol20,rsi5.rsi5,rsi14.rsi14,macd.macd1,signal.macd1,macd.macd2,signal.macd2,dn,mavg,up,pctB,Direction
1363.9,1329.223,1339.4665,27.31689304,38.85895674,82.90620195,64.6161055,-1.076468024,-1.048939407,0.305926704,-0.91326579,1263.716448,1339.4665,1415.216552,0.661277117,-1
1362.89,1337.124,1339.3385,23.96556567,38.77298453,91.5393322,62.7583823,-0.799357598,-1.167635984,0.614167794,-0.408459914,1263.756039,1339.3385,1414.920961,0.655800034,2
1395.12,1348.097,1338.9505,22.73567195,38.13727621,98.46013112,84.78185954,-0.44541957,-1.193998121,1.250408969,0.170111897,1264.607262,1338.9505,1413.293738,0.877771414,-1
1393.96,1355.692,1339.1425,24.20639025,38.41708431,96.3126593,83.72207046,-0.009547643,-1.112619257,1.88054776,0.76244266,1264.253816,1339.1425,1414.031184,0.865993212,2
1420.33,1364.236,1340.001,30.34778491,40.07887249,96.45772119,86.2101703,0.568885086,-0.935488637,2.761757001,1.362561645,1261.872894,1340.001,1418.129106,1.014085165,-1
1411.01,1371.515,1340.5945,32.09366301,41.07619127,83.60679127,88.88956868,1.014174874,-0.659964123,3.4788244,1.997141185,1260.522262,1340.5945,1420.666738,0.939699838,-2
1393.01,1377.463,1344.2335,29.69365179,42.38025959,67.29444189,79.90441258,1.331337067,-0.303694871,3.51326611,2.576960848,1261.619165,1344.2335,1426.847835,0.795206032,2
1418.68,1386.176,1348.8685,27.42077566,45.25080299,64.62990561,79.09705763,1.67317454,0.07984847,3.737741247,3.074427304,1260.658446,1348.8685,1437.078554,0.895711695,-1
1410.43,1393.274,1354.6805,22.77477123,45.3231446,59.39961192,72.98004381,2.12437082,0.486794395,3.794004775,3.457118707,1266.329426,1354.6805,1443.031574,0.815499844,1
1412.12,1398.145,1360.403,20.80133182,44.97000183,43.47687907,72.70771878,2.555882158,0.890388859,3.53591651,3.611950608,1272.740328,1360.403,1448.065672,0.79497732,1
1418.57,1403.612,1366.4175,17.76337793,44.26259486,56.29370629,75.85116732,2.997192024,1.312227706,3.337481302,3.583681989,1280.133818,1366.4175,1452.701182,0.802215314,1
