date,op,cp
2013-05-30,2633.96,2634.32
2013-05-31,2638.71,2606.43
2013-06-03,2605.97,2602.62
2013-06-04,2600.5,2565.67
2013-06-05,2565.33,2560.54
2013-06-06,2552.82,2527.85
2013-06-07,2526.91,2484.16
2013-06-13,2448.72,2399.94
2013-06-14,2404.42,2416.77
2013-06-17,2422.76,2403.84
2013-06-18,2413.09,2418.75
2013-06-19,2408.28,2400.76
2013-06-20,2386.1,2321.47
2013-06-21,2283.15,2317.39
2013-06-24,2308.07,2171.21
2013-06-25,2146.05,2165.42
2013-06-26,2170.33,2168.3
2013-06-27,2172.85,2160.74
2013-06-28,2149.03,2200.64
2013-07-01,2187.09,2213.32
2013-07-02,2211.8,2221.98
2013-07-03,2211.04,2203.83
2013-07-04,2187.18,2221.98
2013-07-05,2227.35,2226.85
2013-07-08,2194.42,2163.62
2013-07-09,2160.7,2162.67
2013-07-10,2163.1,2224.07
2013-07-11,2232.16,2326.69
2013-07-12,2319.02,2275.37
2013-07-15,2289.76,2307.3
2013-07-16,2300.83,2317.85
2013-07-17,2311.44,2282.84
2013-07-18,2272.95,2245.33
2013-07-19,2248.13,2190.48
2013-07-22,2170.09,2202.19
2013-07-23,2211.59,2265.85
2013-07-24,2253.38,2249.15
2013-07-25,2255.22,2237.68
2013-07-26,2226.43,2224.01
2013-07-29,2205.08,2175.97
2013-07-30,2184.01,2189.39
2013-07-31,2211.75,2193.02
2013-08-01,2206,2245.36
2013-08-02,2263.5,2247.26
2013-08-05,2249.98,2278.33
2013-08-06,2270.67,2293.64
2013-08-07,2292.38,2280.62
2013-08-08,2277.25,2276.78
2013-08-09,2288.51,2286.01
2013-08-12,2296.22,2352.79
2013-08-13,2352.88,2359.07
2013-08-14,2362.62,2349.08
2013-08-15,2348.84,2321.58
2013-08-16,2314.26,2304.14
2013-08-19,2286.2,2331.43
2013-08-20,2325.86,2312.47
2013-08-21,2320.58,2308.59
2013-08-22,2302.67,2303.93
2013-08-23,2314.87,2286.93
2013-08-26,2294.76,2335.62
2013-08-27,2332.8,2340.88
2013-08-28,2326.1,2328.06
2013-08-29,2338.56,2318.31
2013-08-30,2315.91,2313.91
2013-09-02,2319.96,2320.34
2013-09-03,2326.23,2354.5
2013-09-04,2352.54,2350.7
2013-09-05,2350.93,2341.74
2013-09-06,2336.77,2357.78
2013-09-09,2374.26,2440.61
2013-09-10,2446.45,2474.89
2013-09-11,2483.79,2482.89
2013-09-12,2480.47,2507.46
2013-09-13,2502.54,2488.9
2013-09-16,2501.08,2478.39
2013-09-17,2480.81,2427.32
2013-09-18,2426.04,2432.51
2013-09-23,2441.52,2472.29
2013-09-24,2470.72,2443.89
2013-09-25,2440.84,2429.03
2013-09-26,2422.63,2384.44
2013-09-27,2382.22,2394.97
2013-09-30,2406.21,2409.04
2013-10-08,2406.42,2441.81
2013-10-09,2432.94,2453.58
2013-10-10,2455.64,2429.32
2013-10-11,2442.36,2468.51
2013-10-14,2472.27,2472.54
2013-10-15,2475.32,2467.52
2013-10-16,2459.08,2421.37
2013-10-17,2432.65,2413.33
2013-10-18,2415.12,2426.05
