,city1_2,flag,flight,flight__num,plane
3913,百色重庆,17236,G52720,1,CR2
3914,常德昆明,17243,9C8829,1,320
3915,常德昆明,17243,9C8829/30,4,320
3916,昆明常德,17243,9C8830,1,320
3917,宁波张家界,17268,MU5241,1,320
3918,张家界宁波,17268,MU5242,1,320
3919,佛山无锡,17285,KN2931/2,2,73G
3920,景德镇广州,17323,ZH9605/6,2,320
3921,济宁广州,17324,CZ3519/20,4,319
3922,广州潍坊,17337,HU7033,2,738
3923,潍坊广州,17337,HU7034,1,738
3924,广州达州,17350,CA4355/6,2,733
3925,广州西昌,17363,ZH9625,1,319
3926,西昌广州,17363,ZH9626,3,319
3927,长沙呼和浩特,17370,CA1927/8,2,738
3928,长沙呼和浩特,17370,CA1933/4,2,738
3929,长沙呼和浩特,17370,CA7501/2,2,738
3930,长沙呼和浩特,17370,CA7503/4,2,73G
3931,长沙呼和浩特,17370,CZ6603/4,2,320
3932,长沙呼和浩特,17370,HU7259,1,733
3933,长沙呼和浩特,17370,HU7259/60,2,733
3934,呼和浩特长沙,17370,HU7260,1,733
3935,长沙呼和浩特,17370,JD5639/40,2,319
3936,长沙呼和浩特,17370,MF8185/6,6,73G
3937,柳州长沙,17378,MU3205,1,ERJ
3938,长沙柳州,17378,MU3206,1,ERJ
3939,长沙南通,17396,G52769,1,CR2
3940,南通长沙,17396,G52770,1,CR2
3941,长沙南通,17396,MU5835/6,2,737
3942,长沙徐州,17400,HU7035,1,733
3943,徐州长沙,17400,HU7036,2,738
3944,义乌长沙,17404,CZ3867/8,2,733
3945,长沙绵阳,17408,3U8765/6,2,ERJ
3946,绵阳长沙,17408,MU2063,1,ERJ
3947,长沙绵阳,17408,MU2064,1,ERJ
3948,长沙绵阳,17408,MU3413/4,2,ERJ
3949,石家庄南宁,17448,NS3241/2,2,320
3950,湛江深圳,17516,ZH9905/6,2,738
3951,襄阳深圳,17521,ZH9705/6,4,320
3952,郑州呼和浩特,17573,3U8819/20,2,320
3953,郑州呼和浩特,17573,CZ3675/6,2,320
3954,郑州呼和浩特,17573,CZ6571/2,2,738
3955,郑州南通,17587,VD8397/8,2,E90
3956,宜昌武汉,17605,MU2609/10,6,ERJ
3957,武汉宜昌,17605,MU2611,1,ERJ
3958,宜昌武汉,17605,MU2612,2,ERJ
3959,武汉宜昌,17605,MU2615,2,ERJ
3960,宜昌武汉,17605,MU2615/6,2,ERJ
3961,宜昌武汉,17605,MU2616,2,ERJ
3962,宜昌武汉,17605,MU2623/4,6,ERJ
3963,武汉宜昌,17605,MU3195,2,ERJ
3964,宜昌武汉,17605,MU3196,1,ERJ
3965,三亚乌鲁木齐,17640,3U8759/60,4,320
3966,乌鲁木齐三亚,17640,CZ6307/8,2,321
3967,三亚乌鲁木齐,17640,JD5203/4,6,319
3968,固原银川,17654,JR1519,1,MA6
3969,银川固原,17654,JR1520,1,MA6
3970,桂林银川,17665,3U8899/900,2,320
3971,深圳银川,17666,CZ3225/6,8,320
3972,深圳银川,17666,ZH9987,1,320
3973,银川深圳,17666,ZH9988,1,320
3974,绵阳兰州,17735,3U8693/4,2,ERJ
3975,西安黄山,17813,JD5287/8,4,319
3976,迪庆拉萨,17862,MU5933/4,2,737
3977,迪庆拉萨,17862,MU5939/40,2,73G
3978,西双版纳昆明,17867,8L9906/5,2,73G
3979,西双版纳昆明,17867,8L9908/7,2,73G
3980,西双版纳昆明,17867,8L9910/09,2,73G
3981,西双版纳昆明,17867,8L9952/3,2,319
3982,昆明西双版纳,17867,CZ3491/2,2,733
3983,西双版纳昆明,17867,CZ3493/4,4,733
3984,昆明西双版纳,17867,FM9453/4,2,73G
3985,西双版纳昆明,17867,KY8013/4,2,73G
3986,西双版纳昆明,17867,KY8035/6,2,73G
3987,西双版纳昆明,17867,KY8057/8,2,737
3988,西双版纳昆明,17867,KY8075/6,2,737
